name_lower	name	canonical	known_chain	count
нова пошта: склад №2	Нова Пошта: Склад №2			9
edificio 4	Edificio 4			9
waldhausen	Waldhausen			9
schmidtmeier	Schmidtmeier			9
le signal	Le Signal			9
kaffe	Kaffe			9
fahrradverleih	Fahrradverleih			9
hotel holiday	Hotel Holiday			9
smpn gaura	SMPN GAURA			9
автолюбитель	Автолюбитель			9
ruralcaixa	Ruralcaixa			9
george park	George Park			9
mogambo	Mogambo			9
leslie park	Leslie Park			9
wohnpark gronau	Wohnpark Gronau			9
pirates cove	Pirates Cove			9
the avenues	The Avenues			9
grain de beauté	Grain de Beauté			9
merchants	Merchants			9
fridhem	Fridhem			9
turnberry	Turnberry			9
империя мебели	Империя мебели			9
de eendracht	De Eendracht			9
scottish ambulance service	Scottish Ambulance Service			9
moore elementary school	Moore Elementary School			9
гимназия №12	Гимназия №12			9
ca$h 4 you	Ca$h 4 You			9
mig-21	MiG-21			9
capilla santa rita	Capilla Santa Rita			9
the bull hotel	The Bull Hotel			9
газ - детали машин	ГАЗ - Детали машин			9
hamburg	Hamburg			9
northwest school	Northwest School			9
kolosseum	Kolosseum			9
nuevo	Nuevo			9
fattoria	Fattoria			9
hudy sport	Hudy sport			9
red hall	Red Hall			9
cassa di risparmio di pisa	Cassa di Risparmio di Pisa			9
травматологический пункт	Травматологический пункт			9
δωδώνη	Δωδώνη			9
garfunkel's	Garfunkel's			9
metan	Metan			9
allwetterplatz	Allwetterplatz			9
bücherzelle	Bücherzelle			9
ermita de la virgen del camino	Ermita de la Virgen del Camino			9
бл.8	бл.8			9
fas	FAS			9
evang. pfarramt	Evang. Pfarramt			9
школа № 63	Школа № 63			9
comedy theatre	Comedy Theatre			9
la presa	La Presa			9
agravis	Agravis			9
kita sonnenblume	Kita Sonnenblume			9
oude gemeentehuis	Oude Gemeentehuis			9
ethiopian airlines	Ethiopian Airlines			9
pósturinn	Pósturinn			9
centre socio culturel	Centre Socio Culturel			9
bite	Bite			9
espiritu santo	Espiritu Santo			9
тимошкино	Тимошкино			9
rogers hall	Rogers Hall			9
cheeseburger in paradise	Cheeseburger in Paradise			9
001	001			9
007	007			9
tomi	Tomi			9
carmelita	Carmelita			9
nida	Nida			9
computer repair	Computer Repair			9
schulmensa	Schulmensa			9
blue beach	Blue Beach			9
bahn 14	Bahn 14			9
auto schneider	Auto Schneider			9
